id_producto,nombre,categoria,marca,precio,stock,calificacion,fecha_registro
93,Accesorios Kingston Modelo 112,Accesorios,Kingston,1827,171,4.6,2025-07-15
94,Audio Apple Modelo 999,Audio,Apple,304,101,4.4,2025-01-03
95,Computadores Logitech Modelo 501,Computadores,Logitech,738,20,4.5,2025-04-28
96,Audio Kingston Modelo 365,Audio,Kingston,291,164,4.2,2025-10-20
97,Wearables HP Modelo 598,Wearables,HP,1283,171,4.8,2025-12-03
98,Computadores Microsoft Modelo 416,Computadores,Microsoft,1074,197,4.1,2025-10-10
99,Telefonía Dell Modelo 661,Telefonía,Dell,95,147,3.7,2025-06-07
100,Audio SanDisk Modelo 310,Audio,SanDisk,32,121,4.0,2025-08-20
101,Wearables Lenovo Modelo 430,Wearables,Lenovo,1296,56,3.9,2025-06-24
102,Almacenamiento Samsung Modelo 310,Almacenamiento,Samsung,1114,140,4.7,2025-01-18
103,Almacenamiento Asus Modelo 529,Almacenamiento,Asus,682,153,4.3,2025-06-20
104,Monitores Microsoft Modelo 616,Monitores,Microsoft,975,37,4.2,2025-09-10
105,Telefonía SanDisk Modelo 239,Telefonía,SanDisk,775,107,4.2,2025-07-23
106,Computadores TP-Link Modelo 769,Computadores,TP-Link,134,144,4.8,2025-09-15
107,Wearables Asus Modelo 804,Wearables,Asus,38,129,4.4,2026-01-01
108,Computadores Logitech Modelo 955,Computadores,Logitech,537,131,4.5,2025-03-08
109,Telefonía LG Modelo 554,Telefonía,LG,536,78,4.4,2025-09-26
110,Audio JBL Modelo 298,Audio,JBL,1752,45,4.0,2025-01-21
111,Telefonía TP-Link Modelo 917,Telefonía,TP-Link,597,195,5.0,2025-12-12
112,Tablets Asus Modelo 218,Tablets,Asus,1790,4,4.9,2025-05-28
113,Redes Logitech Modelo 135,Redes,Logitech,1354,153,4.7,2025-08-12
114,Oficina HyperX Modelo 283,Oficina,HyperX,1602,6,4.3,2025-10-28
115,Redes Sony Modelo 898,Redes,Sony,200,116,4.0,2025-10-08
116,Telefonía HP Modelo 312,Telefonía,HP,219,110,3.9,2025-11-18
117,Computadores HyperX Modelo 616,Computadores,HyperX,892,73,4.1,2025-05-28
118,Wearables Kingston Modelo 447,Wearables,Kingston,1007,165,3.7,2025-10-03
119,Accesorios Dell Modelo 740,Accesorios,Dell,1347,137,4.1,2025-06-25
120,Redes Samsung Modelo 808,Redes,Samsung,1285,18,4.2,2025-05-09
121,Audio HP Modelo 600,Audio,HP,316,65,4.7,2025-09-12
122,Oficina TP-Link Modelo 857,Oficina,TP-Link,387,129,4.7,2025-08-17
123,Telefonía Asus Modelo 144,Telefonía,Asus,1646,89,4.1,2025-05-09
124,Telefonía Razer Modelo 640,Telefonía,Razer,85,180,4.2,2025-08-18
125,Tablets Sony Modelo 311,Tablets,Sony,1198,108,4.5,2025-06-01
126,Wearables TP-Link Modelo 886,Wearables,TP-Link,1468,18,4.9,2025-08-23
127,Monitores HP Modelo 724,Monitores,HP,1191,109,4.5,2025-08-24
128,Tablets Apple Modelo 165,Tablets,Apple,581,167,4.5,2025-01-03
129,Oficina Razer Modelo 793,Oficina,Razer,237,6,4.9,2025-04-15
130,Telefonía HyperX Modelo 518,Telefonía,HyperX,678,185,3.7,2025-08-08
131,Almacenamiento Sony Modelo 786,Almacenamiento,Sony,1294,137,3.9,2025-03-20
132,Audio Apple Modelo 817,Audio,Apple,1086,65,5.0,2025-03-04
133,Wearables Logitech Modelo 262,Wearables,Logitech,1731,47,4.5,2025-06-28
134,Telefonía Razer Modelo 321,Telefonía,Razer,1337,108,3.5,2025-02-16
135,Redes Dell Modelo 433,Redes,Dell,649,9,4.8,2025-08-28
136,Wearables Sony Modelo 898,Wearables,Sony,1410,162,4.1,2025-11-04
137,Telefonía Dell Modelo 882,Telefonía,Dell,496,98,3.7,2025-08-01
138,Monitores JBL Modelo 891,Monitores,JBL,618,12,4.6,2025-02-02
139,Wearables JBL Modelo 566,Wearables,JBL,168,108,4.2,2025-07-24
140,Wearables JBL Modelo 494,Wearables,JBL,1562,187,4.5,2025-09-26
141,Tablets Sony Modelo 797,Tablets,Sony,172,94,3.6,2025-08-27
142,Audio Kingston Modelo 578,Audio,Kingston,1905,100,4.0,2025-10-17
143,Tablets Razer Modelo 952,Tablets,Razer,1919,18,4.8,2025-11-25
144,Almacenamiento JBL Modelo 493,Almacenamiento,JBL,345,39,3.8,2025-04-28
145,Almacenamiento HyperX Modelo 296,Almacenamiento,HyperX,1607,69,3.6,2025-07-21
146,Almacenamiento Microsoft Modelo 416,Almacenamiento,Microsoft,1615,52,4.0,2025-08-11
147,Monitores LG Modelo 814,Monitores,LG,580,117,4.8,2025-04-05
148,Computadores Razer Modelo 213,Computadores,Razer,1508,41,4.7,2025-03-06
149,Wearables SanDisk Modelo 856,Wearables,SanDisk,1825,90,4.2,2025-05-21
150,Computadores Razer Modelo 982,Computadores,Razer,32,200,4.6,2025-03-06
151,Wearables TP-Link Modelo 677,Wearables,TP-Link,1165,126,3.7,2025-06-02
152,Computadores Sony Modelo 490,Computadores,Sony,1029,136,4.0,2025-11-29
153,Telefonía Samsung Modelo 792,Telefonía,Samsung,187,144,3.8,2025-12-16
154,Audio Asus Modelo 762,Audio,Asus,523,29,3.7,2025-03-07
155,Almacenamiento Razer Modelo 541,Almacenamiento,Razer,1079,12,3.6,2025-04-26
156,Redes Apple Modelo 163,Redes,Apple,452,44,4.9,2025-06-24
157,Redes Logitech Modelo 560,Redes,Logitech,1654,38,4.3,2025-01-17
158,Almacenamiento Logitech Modelo 340,Almacenamiento,Logitech,407,49,3.7,2025-09-21
159,Oficina Apple Modelo 834,Oficina,Apple,1116,30,5.0,2025-07-18
160,Oficina Logitech Modelo 404,Oficina,Logitech,405,111,3.9,2025-05-28
161,Redes TP-Link Modelo 434,Redes,TP-Link,1965,150,4.7,2025-04-16
162,Tablets Apple Modelo 368,Tablets,Apple,1087,15,4.0,2025-08-07
163,Almacenamiento HP Modelo 659,Almacenamiento,HP,1287,39,4.7,2025-03-27
164,Accesorios Lenovo Modelo 852,Accesorios,Lenovo,42,123,4.6,2025-10-27
165,Computadores Samsung Modelo 899,Computadores,Samsung,491,62,4.0,2025-06-27
166,Wearables Kingston Modelo 977,Wearables,Kingston,39,193,3.7,2025-04-14
167,Telefonía Sony Modelo 951,Telefonía,Sony,359,2,4.0,2025-03-11
168,Redes HP Modelo 371,Redes,HP,995,146,4.9,2025-07-29
169,Monitores Kingston Modelo 545,Monitores,Kingston,1781,124,4.9,2025-02-25
170,Audio Kingston Modelo 821,Audio,Kingston,662,54,3.7,2025-07-23
171,Audio SanDisk Modelo 744,Audio,SanDisk,980,111,3.8,2025-07-29
172,Audio Asus Modelo 331,Audio,Asus,418,119,3.6,2025-06-10
173,Wearables JBL Modelo 868,Wearables,JBL,103,105,3.8,2025-10-21
174,Almacenamiento Kingston Modelo 731,Almacenamiento,Kingston,193,13,4.2,2026-01-01
175,Wearables Sony Modelo 157,Wearables,Sony,1587,85,4.5,2025-10-16
176,Computadores JBL Modelo 134,Computadores,JBL,254,124,3.9,2025-11-09
177,Wearables Lenovo Modelo 208,Wearables,Lenovo,647,143,4.7,2025-09-18
178,Telefonía SanDisk Modelo 459,Telefonía,SanDisk,1167,172,4.1,2025-04-09
179,Telefonía Samsung Modelo 335,Telefonía,Samsung,1920,86,4.3,2025-07-21
180,Almacenamiento Dell Modelo 265,Almacenamiento,Dell,1753,143,4.9,2025-05-07
181,Accesorios JBL Modelo 952,Accesorios,JBL,260,198,4.4,2025-02-03
182,Telefonía Asus Modelo 482,Telefonía,Asus,1667,108,3.6,2025-05-28
183,Accesorios Microsoft Modelo 440,Accesorios,Microsoft,195,45,4.6,2025-07-26
184,Audio Sony Modelo 610,Audio,Sony,82,21,4.2,2025-07-08
185,Audio Asus Modelo 621,Audio,Asus,865,110,4.7,2025-03-13
186,Oficina Sony Modelo 737,Oficina,Sony,1467,0,3.8,2025-12-25
187,Wearables JBL Modelo 892,Wearables,JBL,472,167,4.6,2025-04-02
188,Tablets Logitech Modelo 481,Tablets,Logitech,1380,189,3.6,2025-05-20
189,Computadores Dell Modelo 597,Computadores,Dell,1638,129,4.9,2025-10-06
190,Telefonía HP Modelo 146,Telefonía,HP,1602,9,4.0,2025-01-29
191,Redes Logitech Modelo 121,Redes,Logitech,127,198,4.4,2025-05-02
192,Wearables TP-Link Modelo 640,Wearables,TP-Link,1344,160,4.2,2025-03-17
193,Oficina LG Modelo 922,Oficina,LG,764,121,3.8,2025-09-04
194,Audio TP-Link Modelo 837,Audio,TP-Link,240,3,4.4,2025-03-09
195,Tablets Sony Modelo 788,Tablets,Sony,68,157,3.9,2025-10-12
196,Audio HyperX Modelo 114,Audio,HyperX,697,43,4.0,2025-10-04
197,Monitores Sony Modelo 153,Monitores,Sony,320,188,4.6,2025-02-25
198,Oficina HyperX Modelo 341,Oficina,HyperX,1875,188,4.1,2025-06-18
199,Redes Samsung Modelo 898,Redes,Samsung,35,56,4.1,2025-05-09
200,Audio Dell Modelo 852,Audio,Dell,1514,97,4.5,2025-01-11
201,Audio Logitech Modelo 836,Audio,Logitech,1896,48,4.0,2025-09-27
202,Accesorios Razer Modelo 743,Accesorios,Razer,1649,43,3.9,2025-05-29
203,Telefonía Microsoft Modelo 185,Telefonía,Microsoft,1158,114,3.8,2025-09-13
204,Monitores Sony Modelo 140,Monitores,Sony,818,84,3.8,2025-08-11
205,Accesorios Kingston Modelo 583,Accesorios,Kingston,42,142,4.2,2025-06-30
206,Audio Logitech Modelo 446,Audio,Logitech,617,177,4.5,2025-10-21
207,Monitores Apple Modelo 505,Monitores,Apple,1055,151,4.8,2025-04-28
208,Accesorios Kingston Modelo 663,Accesorios,Kingston,1337,162,3.9,2025-02-18
209,Almacenamiento Asus Modelo 272,Almacenamiento,Asus,1858,74,4.3,2025-10-20
210,Accesorios Logitech Modelo 198,Accesorios,Logitech,277,41,4.1,2025-08-22
211,Oficina HyperX Modelo 930,Oficina,HyperX,1154,146,4.9,2025-01-19
212,Tablets LG Modelo 291,Tablets,LG,1957,66,4.9,2025-12-10
213,Redes Asus Modelo 480,Redes,Asus,229,57,4.3,2025-01-06
214,Computadores Dell Modelo 906,Computadores,Dell,253,181,4.8,2025-10-29
215,Monitores Microsoft Modelo 987,Monitores,Microsoft,659,159,3.9,2025-03-19
216,Telefonía Logitech Modelo 804,Telefonía,Logitech,1925,41,4.5,2025-04-20
217,Accesorios Lenovo Modelo 619,Accesorios,Lenovo,413,158,4.1,2025-03-19
218,Almacenamiento Sony Modelo 561,Almacenamiento,Sony,1314,170,3.6,2025-03-18
219,Wearables Microsoft Modelo 840,Wearables,Microsoft,1177,118,3.6,2025-10-01
220,Monitores JBL Modelo 181,Monitores,JBL,287,85,3.9,2025-06-17
221,Audio Kingston Modelo 308,Audio,Kingston,819,182,4.6,2025-07-02
222,Monitores Dell Modelo 622,Monitores,Dell,1949,144,4.6,2025-09-23
223,Audio Apple Modelo 267,Audio,Apple,1185,3,3.7,2025-12-21
224,Monitores HP Modelo 368,Monitores,HP,677,139,4.8,2025-08-19
225,Monitores Apple Modelo 646,Monitores,Apple,1147,20,4.7,2025-12-24
226,Almacenamiento Razer Modelo 644,Almacenamiento,Razer,1973,160,4.2,2025-09-25
227,Almacenamiento Asus Modelo 982,Almacenamiento,Asus,1156,118,4.2,2025-10-01
228,Telefonía Logitech Modelo 351,Telefonía,Logitech,544,155,4.1,2025-07-17
229,Tablets Dell Modelo 454,Tablets,Dell,1384,23,4.7,2025-01-26
230,Computadores Samsung Modelo 244,Computadores,Samsung,654,88,4.1,2025-08-30
231,Tablets JBL Modelo 555,Tablets,JBL,1647,159,3.7,2025-05-09
232,Accesorios TP-Link Modelo 196,Accesorios,TP-Link,960,18,4.1,2025-04-06
233,Audio Razer Modelo 824,Audio,Razer,453,191,5.0,2025-09-29
234,Accesorios Asus Modelo 891,Accesorios,Asus,1277,106,4.6,2025-11-10
235,Tablets Asus Modelo 216,Tablets,Asus,1168,54,4.3,2025-07-23
236,Wearables Kingston Modelo 230,Wearables,Kingston,585,189,4.3,2025-10-12
237,Monitores Kingston Modelo 475,Monitores,Kingston,1306,184,4.0,2025-01-24
238,Computadores Razer Modelo 203,Computadores,Razer,1823,76,4.1,2025-03-14
239,Monitores Asus Modelo 325,Monitores,Asus,1940,120,3.5,2025-01-11
240,Computadores Razer Modelo 823,Computadores,Razer,309,34,3.9,2025-07-25
241,Almacenamiento Microsoft Modelo 982,Almacenamiento,Microsoft,228,75,4.4,2025-10-17
242,Audio Kingston Modelo 395,Audio,Kingston,1216,62,3.9,2025-08-17
243,Telefonía SanDisk Modelo 784,Telefonía,SanDisk,1121,122,4.2,2025-03-20
244,Wearables Microsoft Modelo 516,Wearables,Microsoft,1555,152,3.7,2025-06-10
245,Oficina Lenovo Modelo 896,Oficina,Lenovo,262,28,4.6,2025-11-20
246,Tablets Sony Modelo 240,Tablets,Sony,792,10,4.0,2025-08-07
247,Accesorios Microsoft Modelo 196,Accesorios,Microsoft,192,93,4.8,2025-01-28
248,Redes Microsoft Modelo 472,Redes,Microsoft,1220,55,4.2,2025-02-20
249,Accesorios LG Modelo 745,Accesorios,LG,1487,70,4.8,2025-08-02
250,Audio Apple Modelo 506,Audio,Apple,549,153,4.7,2025-10-05
251,Oficina Samsung Modelo 191,Oficina,Samsung,343,126,4.7,2025-01-29
252,Oficina Samsung Modelo 925,Oficina,Samsung,290,146,4.4,2025-09-08
253,Almacenamiento Apple Modelo 261,Almacenamiento,Apple,1215,105,4.0,2025-06-27
254,Oficina Asus Modelo 675,Oficina,Asus,1232,82,4.0,2025-10-31
255,Almacenamiento Razer Modelo 910,Almacenamiento,Razer,973,178,3.7,2025-10-15
256,Redes TP-Link Modelo 804,Redes,TP-Link,136,18,3.5,2025-07-22
257,Almacenamiento Razer Modelo 856,Almacenamiento,Razer,764,49,4.9,2025-01-27
258,Accesorios Razer Modelo 712,Accesorios,Razer,1687,163,4.9,2025-10-12
259,Audio Lenovo Modelo 454,Audio,Lenovo,1083,38,3.8,2025-03-11
260,Oficina Lenovo Modelo 334,Oficina,Lenovo,1625,169,4.5,2025-07-13
261,Audio Logitech Modelo 796,Audio,Logitech,690,176,4.6,2025-03-07
262,Computadores HP Modelo 690,Computadores,HP,315,73,4.8,2025-12-16
263,Audio LG Modelo 777,Audio,LG,1633,20,4.1,2025-11-15
264,Audio HyperX Modelo 493,Audio,HyperX,1001,35,4.3,2025-11-15
265,Wearables Asus Modelo 460,Wearables,Asus,1280,180,4.5,2025-06-28
266,Redes TP-Link Modelo 356,Redes,TP-Link,130,138,3.9,2025-03-08
267,Accesorios Sony Modelo 245,Accesorios,Sony,96,54,4.1,2025-02-07
268,Almacenamiento TP-Link Modelo 737,Almacenamiento,TP-Link,1798,148,4.1,2025-07-25
269,Almacenamiento TP-Link Modelo 825,Almacenamiento,TP-Link,1885,20,4.1,2025-06-11
270,Computadores Sony Modelo 116,Computadores,Sony,201,138,4.4,2025-07-16
271,Tablets Dell Modelo 182,Tablets,Dell,581,99,3.8,2025-11-25
272,Monitores Razer Modelo 477,Monitores,Razer,1064,112,3.8,2025-09-28
273,Computadores Dell Modelo 113,Computadores,Dell,1644,96,3.5,2025-06-27
274,Oficina HP Modelo 912,Oficina,HP,1797,166,4.4,2025-12-26
275,Telefonía Razer Modelo 548,Telefonía,Razer,1240,87,4.9,2025-12-29
276,Computadores HP Modelo 385,Computadores,HP,1692,103,4.5,2025-12-23
277,Audio JBL Modelo 410,Audio,JBL,1215,166,4.0,2025-07-17
278,Almacenamiento JBL Modelo 915,Almacenamiento,JBL,1521,26,4.1,2025-09-07
279,Monitores Microsoft Modelo 503,Monitores,Microsoft,440,117,3.8,2025-09-03
280,Tablets HyperX Modelo 254,Tablets,HyperX,890,188,3.9,2025-02-03
281,Audio Sony Modelo 132,Audio,Sony,1258,48,4.9,2025-02-13
282,Almacenamiento JBL Modelo 784,Almacenamiento,JBL,793,37,3.5,2025-09-22
283,Tablets Samsung Modelo 879,Tablets,Samsung,1419,163,3.5,2025-02-01
284,Audio Razer Modelo 654,Audio,Razer,1415,35,3.8,2025-05-27
285,Computadores Kingston Modelo 648,Computadores,Kingston,969,73,3.6,2025-11-10
286,Monitores LG Modelo 888,Monitores,LG,1706,183,4.3,2025-11-26
287,Tablets Sony Modelo 632,Tablets,Sony,1662,105,3.8,2025-09-28
288,Almacenamiento Asus Modelo 111,Almacenamiento,Asus,508,82,3.6,2025-07-27
289,Oficina Asus Modelo 672,Oficina,Asus,1491,131,4.9,2025-01-31
290,Tablets Sony Modelo 588,Tablets,Sony,621,148,4.9,2025-09-23
291,Audio HyperX Modelo 612,Audio,HyperX,1163,94,3.5,2025-11-08
292,Computadores Razer Modelo 953,Computadores,Razer,1437,63,3.5,2025-06-11
293,Computadores Samsung Modelo 963,Computadores,Samsung,1117,174,3.6,2025-11-03
294,Accesorios LG Modelo 843,Accesorios,LG,1552,0,4.6,2025-07-13
295,Almacenamiento JBL Modelo 409,Almacenamiento,JBL,1869,69,4.8,2025-08-15
296,Audio Lenovo Modelo 234,Audio,Lenovo,1358,158,4.6,2025-04-16
297,Monitores Kingston Modelo 841,Monitores,Kingston,1355,154,4.6,2025-05-27
298,Monitores Microsoft Modelo 639,Monitores,Microsoft,1610,39,4.9,2025-10-27
299,Wearables HyperX Modelo 425,Wearables,HyperX,326,190,4.1,2025-12-14
300,Audio HyperX Modelo 605,Audio,HyperX,1582,142,3.9,2025-06-24
